Emotion,Text
sadness,ඔව් සුෂි කන්න පිනොචියෝස් වලට යන්න ටිකක් දුර වැඩියි
neutral,මම නිදාගන්න කියලා හිතාගෙන ඉන්නවා
surprise,මට නිදාගන්න ඕනේ නමුත් මට මහන්සිත් නැහැ
sadness,මට මගේ බලු පැටියා නැතුව පාලුයි
neutral,අද චිකිත්සාවෙන් මහන්සි වෙලා බෙහෙත් බිව්වේ නැත්නම් උපන් දවසේ උදේට සතුටුයි මිෂු ආදරෙයි ඔයා
sadness,කමක් නෑ
sadness,මට ඔයාව හැමදාම ඕන කියලා ඔයා කොහොමද ඒත්තු ගන්නේ මම හැමදාම දුන්න සංඥා මොනවද කියලා මම හිතන්නේ මට තව යාළුවෙක් නැති වුණා කියලා
sadness,මම වෛර කරනවා පිළිකාව මට වෛර කරනවා මට වෛර කරනවා මට වෛර කරනවා
sadness,නෑ නයිට් ඒක පැය ගණනක් ගෙවිලා ගිහින් තියෙනවා
worry,සහ ඔවුන්ගේ පළමු හැඟීම් මාරු කරන සියලුම කාන්තාවන් ලිංගිකත්වය අඩු තර්ජනාත්මක මිනිසෙකු කෙරෙහි මාතෘත්වය ඔහු තරම්ම දුර්වලයි
worry,මට සමාවෙන්න මම හිතන්නේ නැහැ මම අඩුම තරමේ කා එක්කවත් සසඳන විට
neutral,ලෝහ ආම්පන්න ඝන ගීතය සොරකම් කළා කියලා මට විශ්වාස කරන්න බැහැ මම ගොඩක් කලකිරුණා
hate,හෙට එයාව නැචෝස් කරන්නම් එයා ඒවා හැදුවට වඩා හොඳයි
surprise,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ට ලෙස ශබ්ද කරනවා මම වඩා හොඳ නම් පමණි
neutral,අනේ ඒක නවත්තන්න යාලුවනේ
worry,නැත්නම් මාස ගානක් ගෙදර පූසන්ව හෝදන්නේ නෑ උන්ට වතුර එපා වෙනවා
happiness,ඒක නම් හරිම කරදරයක්
enthusiasm,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම අසාධාරණයි
sadness,මට ගිටාර් ගොඩක් ආසයි ඒවා වාදනය කරන්නත් ඒවා සුපිරියටම ඇහෙනවා කියලා මම හිතනවා මම හොඳ නම් විතරයි
love,නෑ මම අඬන්නේ නැහැ
worry,ඔයා කවදාවත් ඔයාගේ ඩීඑම් එකට උත්තර දුන්නේ නෑ මම ඔයාට තොරතුරු එව්වා
sadness,එයා මැරුණා ඉන්න මැජික් ජැක් ගැන මොකද මම ඒක කියෙව්වා
neutral,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ට ලෙස ශබ්ද කරනවා මම වඩා හොඳ නම් පමණක් නම්
neutral,ගුවන් ටිකට්පත් මෙච්චර මිල අධික ඇයි
enthusiasm,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට වෛරයි ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි අවසානයේ බබා තමයි දුක් විඳින්නේ
worry,මගේ යාළුවෙක්ගෙන් ඒක ඇහිලා තියෙනවා මෑතකදී මම බර වැඩි වුණා එයා දැනගෙන හිටියේ නැහැ
fun,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
sadness,ට්විටාස්කෝප් එක මගේ මේස් දැනටමත් හොල්ලන්නේ නැහැ
happiness,ක්වයි නයිට් පැය ගානක් ගියා
enthusiasm,මම තාම ජිම් එකේ වැඩ කරනවා
neutral,මම දේවල් යන්න කැමතියි ගිය ගිම්හානයේ ආරම්භය වෙනකම්ම වගේ
worry,තව පැයක් නිදාගන්න ඕනේ
worry,මම අද රෑ තමයි සමලිංගිකයින්ට හැදුවේ
neutral,මට ඉක්මනින් නිදාගන්න ඕනේ
neutral,මගේ දත් සහ හිස රිදෙනවා
fun,මට නිදාගන්න ඕනේ නමුත් මට මහන්සිත් නැහැ
sadness,ඇත්තටම නිදිමත නෑ කම්මැලියි කියන එක තමයි හරි වචනේ වැඩිය වැඩ නෑ
enthusiasm,දැන් මට කිසිම දෙයක් කරන්න බෑ
sadness,ඩීසල් යාරිස් එම්පීජී දුකයි ඒක ඇමරිකාවේ නැහැ ඒක නියමයි
sadness,මම හිතන්නේ සර් එකේ ඒක සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි මමයි බඩු ගන්නකොට දවල් ඉඳන් මම දාඩිය දානවා නවත්තලා නැහැ
sadness,ඔයා දිනුම් රකීම් සුසුම් හෙළනවා
worry,මගේ ඔළුව හොඳටම රිදෙනවා මට කෑ ගහන්න පුළුවන්
sadness,ගෑණු ළමයෙක් දැන් මගේ සිතුවිලි වල ඉන්නවා
hate,මම ඔට්ටු අල්ලනවා ඒක මෙතන නැහැ
hate,සර් එකේ සීතලයි කියලා මම ඔට්ටු අල්ලනවා හහ් ඒක මෙතන නැහැ තාත්තයි මමයි බෑග් පැක් කරනකොට දවල් ඉඳන් මම දාඩිය දානවා නවත්තලා නැහැ
sadness,පසුගිය ගිම්හානයේ ආරම්භය තිබුණු ආකාරයට දේවල් නැවත යන්න මම කැමතියි
worry,ආපසු මුදල් නැහැ නමුත් ඔවුන් ගිණුම් ලබා ගන්නවා සතියක් වගේ ගත වෙනවා සොරා හැක් කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
surprise,ඒක මම කියලා එයා දැනගෙන හිටියේ නැහැ
love,ට්විටාස්කෝප් මගේ මේස් රොක් කරන්නේ නැහැ දැනටමත්
worry,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ටයි කියලා මම හිතනවා මම හොඳ නම් විතරයි
neutral,ඒක මාව අවුස්සනවා එරිකාට පස්සෙන් එන්න දෙන්නේ නැහැ
surprise,මගේ ට්විටර් එක ආයෙත් හැක් කරලා
hate,කවුරුත් ඒක අල්ලගත්තා කියලා හිතුවේ නැහැ
neutral,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙන්නේ
neutral,අවසානයේ බබා තමයි දුක් විඳින්නේ
sadness,මම නිදාගන්න ඕනේ නමුත් මම මට ඕන පරණ යාළුවෙක් ගැන හිතන්නේ නැහැ නමුත් එයා දැන් විවාහ වෙලා එයාට මාව ඕන අපකීර්තියට පත් කරන්න ඕන
sadness,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙන්නේ
worry,කෙල්ලෙක් දැන් මගේ සිතුවිලි වල හරිම මොට කෙනෙක් දැන් මට ආතතිකාරක කිහිපයක් එක්ක නියම දවසක් ගත කළා ගෙදර එන්න
surprise,ඒක හොඳයි
empty,ඇඳ ඒක හෙට ඉස්කෝලෙ යන්න බලාපොරොත්තු වෙනවා ඒත් දැන් මට එච්චර සනීපයක් නෑ
sadness,මම දැන් තමයි පටන් ගත්තේ
neutral,ශක්තිමත් හැකිලීම් දැනෙනවා නමුත් එළියට යන්න ඕන
neutral,මට සමාවෙන්න මට එරිකා පස්සෙන් එන්න දෙන්නෙ නෑ
neutral,ඒ නිසා ඔයාට නටන්න පුළුවන් කියලා හිතනවා
worry,මගේ ශුභවාදී දේවල් අපි හැමෝටම හොඳ වෙයි කියලා අහන්න ලැබීම ගැන මට කණගාටුයි
neutral,මම දවස් ගානක් ටෝච්වුඩ් බලන්න ලෑස්තියි එයාලා මොනවා හරි ඇහුවද කියලා බලන්න
worry,ගෙදර යන්න ඕන
sadness,හරි මගීන් කවුරුත් ජීවතුන් අතර නැහැ ඒ හැමෝම මැරිලා ඔයා ඒක දන්නේ නැහැ අන්තිම වෙනකම් ඔයා අඬනවා
surprise,ඇඳේ වැතිර ඉන්නවා
love,හහහා අනිත් අය මට ගායනා කළොත් ඒක භයානක නැහැ ඒක වැඩ කරන්න පුළුවන් කියලා මට විශ්වාසයි
happiness,හිලින් එක්ක කාමරේ ඉන්න අයට සොම්බි ක්ලවුන් සීආර් එනකම් ඉන්න බෑ සති ගානක් යයි
surprise,ඒක මාව අවුස්සනවා මට එරිකා පසුපස යන්න දෙන්නේ නැහැ
neutral,ඊයේ රෑ අන්තර්ජාලය තිබුණේ නැහැ ළඟපාත ගෑස් වැඩ කරන තැනක දැවැන්ත පිපිරීමක් සිදු වුණා ස්ටෑන්ඩ්බයි එකේ
worry,මෙන්න මගේ ශුභවාදී බව අහන්න ලැබීම ගැන මට කණගාටුයි
neutral,එපිසෙන්ටර් වීලොක් ප්ලේස් සංචාරකයින්ට පමණයි
worry,පවර්පොයින්ට් එකක වැඩ කරන්න හැදුවත් ඵලක් වුණේ නැහැ
sadness,මට එයාගේ කොණ්ඩේ හැමෝම කොහොමද කියලා බලන්න ඕනේ
neutral,ඒක පැය ගණනක් තිස්සේ හොඳටම ඇති
worry,සමහර වෙලාවට මට හිතෙනවා පසුගිය ගිම්හානයේ ආරම්භය වගේ දේවල් ආයෙත් ගියොත් හොඳයි කියලා
hate,නෑ ඒගොල්ලෝ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
worry,රිප් ලියනාඩෝ ඔයා නියම කුඩා ෆිඩ්ලර් කකුළුවෙක්
worry,ම්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ මම එතන හිටියා නම් කියලා හිතෙනවා
empty,අද ඉඳන් විතරයි
sadness,මම මගේ වයස පෙන්වමින් අලුත් කළා මගේ ටැග් ගිය සතියේ වැටුණා මගේ රක්ෂණ අලුත් කිරීමේ ඊමේල් එක අද වැටුණා මට වයසට යන්න ඕන නැහැ
hate,ටේලර් ස්විෆ්ට් සහ ජෝ ජොනාස් හොඳටම එකට පෙනුනා එයාලා වෙන් වුණාට පස්සේ මට දුකයි
neutral,ඒක නම් කරන්න බෑ
worry,අනේ කමක් නෑ මට හිතෙන්නේ මේක ගොඩ ගන්න බෑ කියලා
sadness,පළමු කොටසේ නියමුවා හරහා යන්න උත්සාහ කරනවා
neutral,නයිට් එන්න පැය ගානක් ගියා
worry,අනේ කෙල්ලේ මම ගොඩක් කලකිරිලා ඉන්නවා ඒත් මට කියන්න ඕනේ මට මගේ කට්ටලය එකට ගන්න පුළුවන් වෙන්න ඊළඟ සති අන්තයේ මට ෆ්ලයර් එකක් ලැබුණා
neutral,මම අද රෑ විතරයි හැදුවේ
worry,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකින විට මට වෛර කරනවා ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි
worry,අද හවස වැඩ තියෙනවා
sadness,අනේ කමක් නැහැ මම හිතන්නේ මේක බේරගන්න බෑ
worry,නයිට් නයිට් එය පැය ගණනක් ගත වී ඇත
surprise,මියාවේ හෝ වොට් වල මගේ හොඳම මිතුරන් කොහෙද
worry,ගෙදරට ආපහු යන එක මොකද මට කේක් කෑල්ල අමතක වුණා
worry,අනේ ඔයාට රහස ගැන මට කියන්න බැහැ
neutral,නාන්න යන්න
neutral,ක්ලෙයාර් ලව් ෂෝ එක ඔෆිස් එකට ආවා උදේට රේඩියෝ එකක් නෑ
sadness,මට ඇත්තටම ගනුදෙනු කරන්න ඕන නෑ
surprise,මම දකින විට මට වෛර කරනවා ගැබිනි කාන්තාවන් දුම්පානය කරනවා ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා දුක් විඳින කෙනා
worry,තාමත් එයාගේ මහත්තයා නැති වෙනවා මට එයාව ගෙදර ඕන
enthusiasm,මගේ ශුභවාදී බව අසා මට කණගාටුයි
neutral,ඊළඟට රෑට ඔයාව දැක්කේ නෑ
hate,මම යනවා
neutral,ආපහු නිදිමත නැහැ ආයෙත් වැඩ වැඩියි
worry,ගෙදරට ආපහු යන එක මොකද මට කේක් කෑල්ල අමතක වුණා
sadness,සුසුම්ලමින් මම නිදාගන්න යනවා මට දැන් හරියන්නේ නැහැ
worry,හොඳයි
boredom,අනුමාන කරන්න බෑ කෙල්ලේ මම තාමත් ජිම් එකේ ඉන්නවා උදේ පාන්දර වැඩ කරනවා
worry,මගේ වළලුකර උළුක්කු වුණා ඇත්තටම හොඳටම වගේ බඩු ටිකක් ඉරා දැම්මා ඒක රිදෙනවා අද මගේ උපන්දින සති අන්තය
surprise,කාමරකාරයෝ එක්ක චිලින්ගේ වැඩ කරන දවස සොම්බි ක්ලවුන් එනකම් ඉන්න බෑ සති ගානක් යනවා
enthusiasm,මගේ ශුභවාදී බව අසා මට කණගාටුයි
love,මම ටැකෝසෝන් ස්ථානයට ගොඩක් පරක්කු වුණා
sadness,නිදන කාමරේ ගෘහ භාණ්ඩ ඔක්කොම තීන්ත ගාලා ඉවරයි මට තාම මේසය හදන්න වෙනවා නමුත් ඒක මාරුවෙන් පස්සේ වෙයි හ්ම්ම් රස්නෙට යනවා
happiness,ක්වයි නයිට් පැය ගානක් ගියා
neutral,ආපහු නිදිමත නැහැ ආයෙත් වැඩ වැඩියි
hate,මට කේක් කෑල්ල අමතක වෙලා නිසා ගෙදර එන්න
relief,ඔයාට බොරු කියන්න බෑ හැම දෙයක්ම ගැන බොරු කියන්න බෑ
love,අනේ නයිට් දැන් පැයකට වඩා වැඩියි
neutral,ඔව් මට හොඳටම නින්ද ගිහින් නැති නිසා මම අම්මාව ඇහැරෙව්වා මොකද මම ගායනා කරමින් හිටියා ඇය ඔයා ගැන පැහැදීමක් නෑ
enthusiasm,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම අසාධාරණයි
worry,ඔයාට රහස කියන්න බෑ
worry,තවදුරටත් කිසිදු අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
worry,මෙන්න මගේ ශුභවාදී දේවල් අපි හැමෝටම හොඳ වේවි කියලා අහන්න ලැබීම ගැන මට කණගාටුයි
sadness,අම්මෝ ඊයේ මාව වෑන් එකෙන් විසි කරලා එර් එකට අරන් යන්න සිද්ධ වුණා
enthusiasm,මට ගේම් එක මග හැරුණා
sadness,කේක් කෑල්ල අමතක වෙලා නිසා ගෙදර ආපහු යනවා
surprise,ඒක මාව අවුස්සනවා මට එරිකා පසුපස යන්න දෙන්නේ නැහැ
hate,ඇත්තටම නිදිමත නැහැ කම්මැලියි කියන එක තමයි හරි වචනය
hate,මගේ අම්මලා මට ඡන්දය දීම නවත්තලා දිනන්නේ නැති එක ගැන දැනෙන හැඟීම ඇති කරන්න හදනවා මම ඇඬුවා වගේ
worry,මම ටැකෝසෝන් තැනට ගොඩක් පරක්කු වෙලා හිටියා
neutral,ඒ නිසා ඔයාට නටන්න පුළුවන් කියලා හිතනවා
worry,නෑ ඒගොල්ලෝ ඔක්කොම නිදි මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
worry,තාමත් ඒකට බැටළු පැටවෙක් නැති එක කණගාටුවට කරුණක්
worry,ආහ් නයිට් ඒක පැය ගණනක් ගත වෙලා තියෙනවා
worry,කෙල්ලෙක් දැන් මගේ සිතුවිලි වල හරිම මොට කෙනෙක් දැන් මට ආතතිකාරක කිහිපයක් එක්ක නියම දවසක් ගත කළා ගෙදර එන්න
sadness,කවුද දන්නේ නෑ
neutral,ඇඳේ වැතිර ඉන්නවා ෆාආ අඩුම තරමේ මම කලින් වගේ පෙනුනත් එක්ක සසඳනකොට
boredom,මම ඒක විවෘත කළාම මේ වෙබ් අඩවිය මට වෛරසයක් දුන්නා තවත් කවුළු මතු වෙනවා
hate,අනේ අද මම එච්චර ට්වීට් කළේ නැහැ
worry,මගේ එකම සහායකයා මගේ එකම සහායකයා නොවේ
worry,මට මෑතකදී ටොන් එකක් බර වැඩි වුණා කියලා මගේ අවධානයට ලක් වෙලා තියෙනවා එයා දැනගෙන හිටියේ නැහැ ඒ මම කියලා
hate,ම්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ සහකරු
sadness,ගැහැණු ළමයෙක් දැන් මගේ සිතුවිලි වල හරිම ලස්සනයි මට දැන් ෆේෂල් එකක් එක්ක නියම දවසක් ගත කරන්න පුළුවන් වුණා
worry,ට්විටාස්කෝප් එක මගේ මේස් දැනටමත් රොක් වෙලා නැහැ
surprise,සමලිංගිකයන් සඳහා මම අද රෑ විතරයි හැදුවේ
worry,හොඳයි උදේ මිනිස්සු හිරු එළිය වැටෙනවා වසන්තයේ දැන් අපිට අපේ පළමු වසන්ත හිම කැට කුණාටුව ආවා මගේ කාර් එකට දැන් ඩිම්පල් තියෙනවා
neutral,ඔහ් ගිගුරුම් සහිත වැස්සක් ඇයි එයාලා හැම විටම විදුලිය විසන්ධි කරන්න ඕනේ
worry,ස්තූතියි නීමා මම ඔයාට ගොඩක් ළඟයි තාමත් අසනීපෙන් ඉන්නේ
worry,අද ඉඳන් සංචාරකයින් සඳහා එපිසෙන්ටර් වීලොක් ස්ථාන ඒකක ඇම්ප්
neutral,ක්ලෙයාර් ලව් ෂෝ එක ඔෆිස් එකට ආවා උදේට රේඩියෝ එකක් නෑ
worry,ගෑණු ළමයෙක් දැන් මගේ සිතුවිලි වල හරිම ලස්සන දවසක් ආතතිය ඇති කරන දේවල් කීපයක් එක්ක ගෙදර එන්න
neutral,අනේ කමක් නෑ මේක ගොඩ ගන්න බෑ කියලා මම හිතනවා
fun,ඇත්තටම නිදිමත නෑ කම්මැලියි කියන එක තමයි ආයෙත් හරි වචනය වැඩිය වැඩ නෑ
relief,ගැහැණු ළමයෙක් මොට කෙනෙක් දැන් මගේ සිතුවිලි වල හරිම අපූරු දවසක් තිබුණා ආතතිය ඇති කරන දේවල් කිහිපයක් එක්ක ගෙදර එන්න
worry,අනේ හරිම නරකයි මම හිතනවා ඒක හොඳ වෙයි කියලා මම හිතනවා මෑතකදී මට නින්දේ ගැටළු ඇති වුණා
sadness,ෆිලීගේ කටහඬ ඇහෙනවා මම ඒකට ආදරෙයි ම්ම් චීස් ස්ටීක් මගේ පෙම්වතා නැති වුණාට මම නිවාඩුවට ආදරෙයි
hate,මට නිදාගන්න ඕන ඒත් මහන්සිත් නෑ
happiness,ඔව් මම නැගිටින්න ඕනේ
worry,ඒක මාව අවුස්සනවා මට එරිකාට පස්සෙන් එන්න දෙන්නෙ නෑ
worry,නිදාගන්න යනවා සාමකාමී නැහැ
worry,මුදල් ආපසු ගෙවීමක් නැහැ නමුත් ඔවුන් ගිණුම් නැවත ලබා ගන්නවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
sadness,අහ්හ් ඊළඟ රළුකමට යන්න මට මේ මෝඩ ගීතය පරාජය කළ යුතුයි
worry,සෑම දෙයක්ම ගැන බොරු කියන්න බැහැ
hate,කවුරුත් හිතුවේ නැහැ තේරුනා
sadness,මම ඔට්ටු අල්ලනවා එස්ආර් එකේ සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි මමයි බෑග් කරනකොට දවල් ඉඳන් මම දාඩිය දැම්මේ නෑ
worry,ට්විටාස්කෝප් එක මගේ මේස් දැනටමත් රොක් වෙලා නැහැ
sadness,නෑ නයිට් ඒක පැය ගණනක් ගෙවිලා ගිහින් තියෙනවා
surprise,අම්මේ අනුගාමිකයින් නැති කරගන්න එක දිගටම කරගෙන යන්න මේක හරිම දුකයි මට දවසක් ඕනේ ඒක තමයි මගේ ඉලක්කය
sadness,හරි මගීන් කවුරුත් ජීවතුන් අතර නැහැ ඒ හැමෝම මැරිලා ඔයා ඒක දන්නේ නැහැ අන්තිම වෙනකම් ඔයා අඬනවා
worry,ම්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ මම එතන හිටියා නම් කියලා හිතෙනවා
worry,ඇගේ රැඳවුම්කරුවන්ට හුස්ම හිර කළා
sadness,අනේ
sadness,කවුරුත් ඒක අල්ලගත්තා කියලා හිතුවේ නෑ
hate,මට නිදාගන්න බෑ
worry,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන නිසා
neutral,බොරුකියා
worry,ගැහැණු ළමයෙක් දැන් මගේ සිතුවිලි වල හරිම මෝඩයි
sadness,ඇත්තටම නිදිමත නැහැ කම්මැලියි කියන එක තමයි ආයෙත් හරි වචනය වැඩිය වැඩ නැහැ
hate,අද රෑ ගෙදර ඉන්නවා
sadness,කමක් නෑ කමක් නෑ
worry,කෙල්ලෙක් දැන් මගේ සිතුවිලි වල හරිම මොට කෙනෙක් දැන් මට ආතතිකාරක කිහිපයක් එක්ක නියම දවසක් ගත කළා ගෙදර එන්න
worry,ට්විටාස්කෝප් එක මගේ මේස් දැනටමත් හෙල්ලිලා යනවා
sadness,අන්තර්ජාලය නැහැ
worry,මගේ අම්මලා ඡන්දය දීම නවත්තලා කෙටි කාලයක් දිනන්නේ නැති එක ගැන මට දැනෙන්න සලස්වන්න උත්සාහ කරනවා මම ඇඬුවා
worry,සමහර වෙලාවට මට හිතෙනවා පසුගිය ගිම්හානයේ ආරම්භය වගේ දේවල් ආයෙත් ගියොත් හොඳයි කියලා
neutral,මම හාපර්ස් දූපත බලමින් හිටියා හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි
neutral,නිදන කාමර ගෘහ භාණ්ඩ සියල්ල පින්තාරු කිරීම අවසන්
worry,ඒ කතාව පෘතුගාලයේ ජීවත් වීම මතක් කරනවා
hate,මට නිදාගන්න ඕන ඒත් මහන්සිත් නෑ
neutral,මගේ නහය ගැලවිලා ගියා මට ඒක හොයාගන්න බෑ අද ඇම්ස්ටර්ඩෑම් ගිහින් අලුත් එකක් ගන්න ඕන
hate,ඔහ් ඒක ඇත්තටම වෙලාවක්
enthusiasm,යාලුවො එක්ක ඉක්මනින් කාලය ගත කරන්න කැමතියි
sadness,අපි හැමෝටම දේවල් හොඳ වෙයි
neutral,මෑතකදී මම ටොන් ගණනක් බර වැඩි කර ගත් ඔබේ මිතුරෙකුගෙන් එය මගේ අවධානයට ලක්ව ඇත ඔහු ඒ මම කියලා දැනගෙන හිටියේ නැහැ
sadness,තවදුරටත් සංවර්ධනයක් අත්අඩංගුවට ගත්තේ නැහැ මට දුකයි
sadness,ඇත්තටම නිදිමත නැහැ කම්මැලියි කියන එක තමයි ආයෙත් හරි වචනය වැඩි වැඩක් නැහැ
empty,පසුගිය ගිම්හානයේ ආරම්භය වගේ දේවල් ආපහු යන්න මම කැමතියි
neutral,ශක්තිමත් හැකිලීම් දැනෙනවා නමුත් එළියට යන්න ඕන
love,අනේ ඔයා කොහෙද යන්නේ
worry,මට කිසිම දෙයක් කරන්න බෑ
fun,අපි වෙනසට අකමැතියි ඒ නිසා අපි ජීවිත කාලය පුරාම රසිකයන් ඕ ඒ වෙනකොට අපි කොල්ලව මුණගැහිලා නැත්නම් මොකක් හරි දරුණු වැරැද්දක් වෙලා තියෙනවා
neutral,මම දෙමාපිය පාලනය බලාගෙන හිටියා
hate,අද රෑ ගෙදර ඉන්නවා
neutral,කමක් නෑ මේක ගොඩගන්න බෑ කියලා මම හිතනවා
neutral,අනේ කමක් නෑ මේක ගොඩගන්න බෑ කියලා මම හිතනවා
hate,මම නිවාඩුවක් යනවා
sadness,අද ගණිත පරීක්ෂණයක් කළා
sadness,ගුරුතුමා කිව්වා කැල්කියුලේටරය ගේන්න කියලා
neutral,මට මගේ බබාව මතක් වෙනවා
worry,මේක බේරගන්න බැරි දෙයක් කියලා මම හිතනවා
sadness,අනේ කමක් නෑ මම හිතන්නේ මේක ගොඩ ගන්න බෑ කියලා
