cleaned_content,sentiment
thanks so much for following me here too i will keep you all up to date as much as possible on my makeup line plus all new collections,happiness
hugs im glad you got to spend time with your mom if your free tonight drop by for some spaghetti,love
got let go today,empty
be back later happy mothers day to all the mothers in the world god loves us all,enthusiasm
nursing my sick guniea pig back to health and my cat is being jealous,fun
what a lovely summery morning shame i have to be in work,surprise
damn apple store is down for updates whats coming i wonder,worry
getting my hair cut tomorrow or later today i should say excited my swag is already on jus turning it up,enthusiasm
name the rest lets see mystery jets are pretty cool ida maria and you shud rly listen to say anything,fun
is back from a very long day out at naz gunna crash up tomorrow for mothers day editing photos from today hangin with my mom etc,empty
ironically that thought goes through my head no pun intended for every headache i have hope it goes away soon,worry
happy monday morning,relief
omg goooood ass nappy nap jusss woke up bout clean up a lil then get ready,anger
fun is being had,happiness
happy juddday,happiness
hellooooooo whats the scene people,enthusiasm
killed a pigeon today thought it was going to move out the way of the car next thing i know bang feathers in the rear view mirror rip,surprise
waiting for the last movie to finish then am test screening ghost of girlfriends past glass of wine and lolly bag in hand yay,surprise
is getting ready for bed happy mothers day to all the mothers out there,fun
im sunburnt on my arms and i have burnt my mouth and some skin is coming off,sadness
this weekends abouttttto suck,boredom
aaaaaaaa i hate fucking winshit,hate
just found out i have strep,empty
rught brb on me ipod if i randomly go off its cos me internet breaks,anger
geez its like i bribed you for a follow back,fun
sitting in traffic while my car gets rained on just washed it on sunday doesnt the weather know this is california,anger
my throat is on fire,anger
urgh over slept for work still done no revision and im so snappy today having a total fat day too,worry
ha i think i got like two hours of sleep last night and i have an early start tomorrow so chillin and sleep is needed,enthusiasm
haha not sure what local is to you but if i was then youd have to fight me for it,surprise
ugh i need a job but no one is hiring,worry
oh sweetie im so sorry thats the last thing you needed right now hugs,love
doesnt sound so great at all palmpre,sadness
jimithy cant come msbjlt,sadness
i am so bored my homework is done for my masters program and its friday nite wit nutin to do,empty
wouldnt that cost quite a bit i mean flying pizza from china nice fusion idea i may have to experiment,fun
you are too kind i swear im always feeding someone,relief
in honour of starwarsday i have fired up a new hope in the dvd player in full thx glory,fun
kk but sum reason its not lettin me vote them,empty
im not ready for tomorrows competition,worry
what about sauce huh im going to california tomorrow morning,surprise
yeahi hope it turns out more minutes,boredom
grrrstupid internet connection ruined a great scrabble game,hate
joeys getting a new lizard this should be fun x,fun
haha yah its walking distance from my house mission tiki drivein haha every summer we go like every weekend,fun
hungoverstill in bed duvet day day me thinks ooh may start desperate housewives or watch new dvds off richard xx,surprise
youre not here i hope youre still resting i dont want you to be stressed,love
bout to hit pmark then make one of my final meals wit the housemates,neutral
is so bored,empty
damned hordies,anger
haha i did a ltiitle bit yesterday and ive been out all day so i think ima chick an allnighter hahaha not cool,anger
all of a sudden im craving broccoli and cheese soup really bad oh the hunger,neutral
gogol bordello lt par prolly not even in the top of gb shows ive seen perhaps some old fashioned civilization ii will help,boredom
happy mothers day to you as well,love
should have gone to bed ages ago damn you tedtalks gotta get up early too,empty
hey tweepsgood morning wussup americatalk to me tell wuts on ur mind,happiness
ha the first request for sending a paper copy of my thesis,relief
wellll only that will feed me the others were mainly shade loving native wildflowers,love
go pens go gino wins it for the pens,happiness
shite night tomorow i get to hang out with my little brother and neice should be sufficient enough to change my mood,enthusiasm
finally getting sleepy right when the sky brightens figures gnimorning,anger
was fun meeting u today thanks for all the doodles on the goodies i got hope u have a super time in to amp visit again soon,happiness
confuzzled,anger
bah yoube made me all hungry now,empty
yup now i can join in on the nin access fun,anger
i need to go ouuut im so bored,boredom
matty is le tired,sadness
my sister in law just left for her prom she looked soo pretty tears all around,fun
mondayfunday wake up peopleand keep me awake please today is going to be a long onei can already feel it eww,anger
haha i was just talking about that to my colleague i have dms only are actual messages and not spam,fun
well sadly i live in the most boring city in the usa so there is nothing to do here,sadness
waiting for the denver game to come on but i dont think their gonna win it lakers suck lol p,sadness
happy mothers day to all the wonderful moms out there moms are what makes the world stay balanced have a great mothers day,love
i got up early to pay bills i figured its like a bandaid if i get it over quickly it wont be so bad i was wrong,sadness
i was gonna get off at day just found out im stayin til,surprise
i have been subtly replacing it with quotpenetration testingquot when i see it but nobodys caught on yet,neutral
back in the saddle after four awesome days with and the old gang will try and avoid a tweet flood after a long radio silence,happiness
would be nice if he did,neutral
looks like rain again oh well it will give me a chance to work on a new crochet pattern i have in the works,enthusiasm
aww lovely hope you had a great mothers day our little mother hen did you get in contact with sharn,happiness
that is never good especially on a friday night,worry
im so sick bad throat and the worst toothache good thing i work in a pharmacy load me up with drugs,hate
i miss you too and dont say quotdamnquot lol,enthusiasm
is having awesome fruits and vegetable juice at the opening of lams noodles at fb,fun
its soooo funny thanks or today btw lebron harassed me,fun
praying for love in a lap dance and paying in naivety ltone of my fav songs,fun
no your not they are very cute how you going being a daddy,surprise
the weather is gross outside it puts me in a bad mood,hate
jammin to capital in my garden xx,surprise
ah sameway yet has votes we need more vote d,neutral
twitterfails fucking hard right nowthis is annoying,anger
hes well cooool lovve the roampco shoooow,love
and em my baby starts kindergarten what a crazy summer its going to be,love
good morning my fellow tweeters,neutral
the following week would be better ill be gone next week,enthusiasm
glad i wore my black rats and a flowy shirt im so full from my dozen mixed oystsers seafood platter and death by chocolate,surprise
good weather reminds mei read your post on sugar cane juice n other thingsthis weather calls for some of those things,relief
very excited about camp loads of people arent but i am thrilled about that fact we get to sleep in tents and roll around in mud,relief
im excited about cake class tonight im a nerd,fun
no such luck and u arent coming to detroit luckily ill be seeing u and the crew in chicago,sadness
you are a slow answerer,hate
you are welcome,surprise
happy moms day,love
snitchsneeker photos were cool but dang whats up with all the comments about your chest hair thats just creepy,sadness
thanks its so annoying,love
yes rays beat the red sox,love
mmm btw i was just talking to you amp you were gone,neutral
that is super sad how is bart etc holding up,sadness
today was such a horrible dayy,worry
lmao smh that one threw me off,happiness
what a bad day,worry
counting the minutes until i can go home,boredom
what are you doing here i thought you were back at work today,surprise
thanks new work will arrive in a few weeks,neutral
oh whatever im excited anyway,neutral
thank you jon thats very sweet,love
the dog dug a hole in the backyard well iwas sleeping now im grounded,sadness
gah i sprained my left ankle just after i got over the torn ligament for my right foot looks like its back to walking with a cane,anger
so over it,hate
booo totally bored,hate
today i salute all mothers and honour the feminineand now its time for a beer,fun
trivia working no computer,surprise
im so tired of being sick all the time,boredom
im inclined to think its stupid,hate
i totally want some white chocolate macadamia cookies from mrs fields but the mall is soooo far away bleh i think ill make my own,boredom
hopefully it dont go that far sometimes i feel like renouncing my roots,anger
sam and sean are teasing me saying they are gonna get wings without me,anger
damn i always miss it,hate
yup lol sweet year haha,fun
went to the beach and it started raining,empty
i am lost please help me find a good home,neutral
omg rated stars,surprise
which denomination im at the library and everythings blocked,anger
wish my headachealmost migraine would go away,anger
praying to be humble is always dangerous he will answer you god gives grace,relief
no ways if you can nab a youngster go for it my best friend swears by younger men apparantly they can go for longer too,enthusiasm
i listen it right now so much fun no i just have to get it somehow,happiness
munderday i like that,fun
haha thanx now twitter is a lot more public at ybc than i presumed,fun
working but its fridaaaayyyyy,anger
i always feel guilty about it,anger
so see you on my birthday visit me haha why wack saturday,fun
hmm interesting choice,enthusiasm
just made a cake for mi madre im goooooddd,love
had a great time at the block party so did mackenzie,worry
hanging out with ambyr,neutral
today is my last official day of uni no more balancing uni work with music til october atleast,relief
look how choke on this dick talks to me,empty
my phone works its whack well good morning gonna go eat breakfast with neil before school starts,relief
my mouth is sore i have to wear these stupid retainers so my teeth dont go crookedin other news i got a new swimsuit for laps,enthusiasm
ive been studying for a year now and years in school,surprise
the following week would be better ill be gone next week,enthusiasm
bouta donate blood ahhhhh,relief
i cant believe it,surprise
listening to the new green day album fingers crossed,fun
back home again bathing kids ironing clothes for hubby nephews graduation tonight i remember when he was,happiness
after i said hi how are you she did at double take amp left damn it i should have let her look around first,surprise
i was hoping abc will pick up quotking of the hillquot but they said no,worry
ur taking tease lessons from the guys no fair lol oh well well wait as patiently as we can,surprise
gday do you know if nhibernate has issues with com interop vb ltgt net wrapper ltgt netnhibernate dll im getting crazy,hate
cnews wasnt as bad as i expected could have done better but today we did a great show,surprise
everything is cool now i wish the boy was able to talk,sadness
good luck i wanna see them again too i waited outside by their buses to see them before no autographs tho,fun
twitter is slow,neutral
wish i was in dallas can i still say ow lol hey u spelled my name wrong its all good thanks for ff love,enthusiasm
sad that school is over gonna miss all my friends and teachers,worry
today was boringharry potter ftw,boredom
im only quot,empty
planning a road trip down to san diego with a detour into vegas to celebrate my birthday too bad its wks away i want to go now,fun
i do too sounds interesting,happiness
happy mothersday to all mothersand to mine i love youuuuuu,happiness
yep nothing better,hate
i want some cheese fries from fontanas,neutral
yes today is star wars day may the th be with you,happiness
did you see the sec clip of the new moon trailer its up on etonlinecom check it out its a big tease though,neutral
i found out this morning i got subscribers thx check on lillysan awards xx li,neutral
wee arr sowbur i promiss the styoopid flying thing hazzunt kum owt agane itt iz hyding sumware and larffing att us,empty
hour til lunch cant wait ima go to mcds,enthusiasm
omg am luat examenul la spss me so happy,surprise
im so sleep deprived but its to hot to sleep,sadness
but they are expensive,worry
yeahi hope it turns out more minutes,boredom
kakabalik lang from tarlac good aftie,love
seriously link plzz,surprise
fo shizzle im bored and wanna go do something wish i went to pisay today oh wellz wonder who were there,boredom
fucken tired as fuck its sunny good day deffff,hate
is house bound with acute mumps bad times whole day ov supernatural me thinks x,worry
i told myself i wasnt gonna cry and then one kid that everyone made fun of all year said quotits been a good yearquot,relief
my debit card is going the same way as my credit card its snapping,worry
why do you not respond me,anger
hey girl yeah my allergies kick in at the most random times hmph,worry
no one wants a virtualkiss,worry
aww i hope it does fly by because jt episodes are usually really good and its early but so far this ep hassnt disappointed,happiness
i love the fact that its a bank holiday monday and i can stay in bed,love
have to keep bumping the mouse so my computer doesnt go to sleep no internet access no files to work on slowest friday eeeeevvveeerrrr,hate
tired as fuck its pissing down with rain i miss summer,boredom
im bad with understanding there things you should know this,hate
omg goooood ass nappy nap jusss woke up bout clean up a lil then get ready,anger
so tenseso emotionalso not me,neutral
couple days sheeeeit wish i were there have something at cafe claude for me,surprise
youre going to the uk take me with,enthusiasm
yes it went down smooth too bad i have to get back to work though how are you enjoying your friday,sadness
ugh its really hot today already and its not even noon yet i want ice water,surprise
happy national star wars day everyone,happiness
going to my brothers wedding in princeton nj next sat had to buy a navy blue sports coat and gray pants total at goodwill,neutral
whats going on tonight lets partyyyyy,fun
omgod im soooo tired i dont think i have the energy to film today lol,empty
omg at that almost in our s comment same bday as joe herebut i turn omglol,surprise
but id have to drive or get a taxi do you have a pool tablejukebox,enthusiasm
just got thru watchin on bones now topping off with house reruns,neutral
i aint lyk any othaa gurrrrrl i dont lyk the jonas brotherskristi,neutral
why yes i do or rather did just finished it starting dead like me lollll,happiness
youve got a deal,relief
i am absolutely craving a brownie with ice cream right now fedex some over,fun
i raced her once i totally lost rip,empty
home from taking nick home a little lighter in pocket after being flashed by a speed camera,relief
very bad thingsi need to stop thinking,anger
hey girl im a new follower i think its awesome youve gotten the chance to get so close to donnie very cool,fun
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,fun
sugar free should have gone through in stead on grand they were so good and grand is a bit too cheesy,neutral
this is going to be a great and productive week i can just feel it positive thinking is the key,relief
making banana bread,empty
leave multitasking to us women,worry
should probably do some house work for my mummy think id better would cook dinner but im a shit cook lol xx,boredom
waiting for princes protection program online in english version so long,enthusiasm
so i always get left out,sadness
come on man give me some slack,enthusiasm
dancing was alright todayy still doing jai ho,love
rushed to get to ups and they close at i got here at after making a wrong turn,enthusiasm
awww well i am herejust in casei am not like the perfect funny friend but im here hehe,enthusiasm
well doesnt that look fab even if i do say so myself,happiness
excellent looks like youll have some twitterific competition,fun
i wish i was at disneyland or watching star trek like other people are doing i swear i must be the only sap who works on fridays,enthusiasm
i need something t do like hello im fucking bored now um yeh,boredom
aww my son gave me a purple g shock for mothers day,happiness
im so pumped for the day,happiness
cleaning the old apartment today yay,boredom
if i am so are u my friend ha but the thing is we make old look good,fun
cant send the dream story on twitter sending on bebo mail x,neutral
i have just read up on lactose stuff and i can eat hard cheese there is no lactose in it jumps of joy this rainy day yay,surprise
i ate some hot food,neutral
just got home from the bea amp it was kinda boring me this year but hung out with some great authors amp coworkers,boredom
thanks for sharing,relief
wellgotta grab at least an hour and a half sleep before the girls get up for schoolgawd the life of multitaskin nightmornin,sadness
lol im sure it would be the most kick azz version weve ever heard,empty
adding names to my twitter account and learning how to use this amazing thing,neutral
mothers day in minutes west coast time happy mothers day to all the mothers out there,surprise
i couldnt come to see you in southend on the nd as i couldnt get the tickets ill have to come see you when you solo tour,empty
will be heading to baguio in a few hours,happiness
thanks well impressed its much better than my last one must b the clean living gluten free lactose free food,empty
happy mothers day to the only mother i have on my list,happiness
finally holiday,happiness
im so jealous i dont know when ill be able to see conan,enthusiasm
wheres the story i wanna know i wanna know,hate
last day of work but everyone is making it so great,enthusiasm
going to head to bed now finallygoodnight hopefully my dreams will consist of ravishing things such as zachary quinto,happiness
nah jkin hes hot so bored now,boredom
love the background those are my fave pics of them when theyre at the beach thanks for the follow,love
my body isnt itching anymore,relief
did a historical jesus ever exist im finding it hard to prove its all hearsay accounts it bugs me,anger
ahh naa i dont like rain nm really friend is comin over then goin my grans,neutral
now i want ice cream but its so expensive,empty
weather is lovely im headed home via supermarket planning to spend some quality time knitting tonight,happiness
you are acting like year olds,relief
yer there must benot sure thocaught it off my brother but got it worse,worry
hours and mins until i can go home and sleep i hour till i have to go to work cant wait for days off this week,worry
ill keep that in mind when he gets tonked for off his overs,enthusiasm
waking up at am yuuup still going out tonight you better believe it,fun
nothing to do just sitting here i can see mrs p and her husband,boredom
been there sucks like hell,boredom
why does flickr no longer recognize my email addresses i cant log in,sadness
great avatar,enthusiasm
thank you and happy mothers day to your mother also snl tonight,happiness
ok i realise your up early because youve joined the cult of mac nvm,empty
at work agh i really need to go with you what days do you go so that i can add it to my schedule,enthusiasm
be back later happy mothers day to all the mothers in the world god loves us all,enthusiasm
good mornin today will end early woo gonna work on ricks surprise project due on tuesday,happiness
not really feeling like my man cherishes me wtf,boredom
o wow only just found out new xbox is called xbox how did i not no im a geek,love
rise and shine time to get prettifide,surprise
confuzzled,anger
guess ill start getting some of my camping and fishing stuff together for wed amp thurs trip to braunig lake,neutral
im so tired we have a great time today together thanks for all,neutral
i would lime them or lemon and deal sounds fabulous to me text me up when youre back,happiness
should be coming out of hospital today,relief
lol man i got hrs an iont how i woulda made it wit out my ramen noodles and tv time,neutral
omg its julys last day muchachomalo,surprise
nice its mommas day,fun
totally overstressed going to work now just want the college work to go away i dont wanna fail,worry
eating which wich yumm dont think ive had it since the season ended,happiness
my stupid putet wont let me go to your chat,sadness
burning cds fucking outa blank discs,surprise
great find,enthusiasm
hah well at least we are not saying tory is a fatty watty,hate
is resting ahhhhh i feel good,happiness
i wish i could see dramafest so bad,worry
i jus found my id finally it was in the lint thingy in the dryer lol its all bent outta shape now im mad,surprise
so sorry to hear your terrible news thinking of you all x,worry
hey my friend need some inspiration no one can do it like you thanks,relief
yeah my brain does rock i am happy to share my knowledge with you carrie,neutral
studying for this bullshit econ test,anger
had a kickass day full of seaworld retarded year old guys and xmen origins win day,anger
watch jay leno tonite its his last day as the tonite show host and late nite leader,fun
watching leno for the second to last time on the tonight show,enthusiasm
got three shots today i cant lift my arms,sadness
i cant wait to see yall friday i hope i meet u guys that would make the night even better,fun
said final farewells to roommate almost finished packing then its dc or bust on the rd california i divorce you x,hate
its raining cats and dogs in gdask today looks nice though through a window,enthusiasm
my friend went to new york without me and all i got was this picture of her and will smith,sadness
thx for followfriday im afraid ive been remiss with my blips lately,sadness
no health insurance is not an option,surprise
thx,enthusiasm
was fun meeting u today thanks for all the doodles on the goodies i got hope u have a super time in to amp visit again soon,happiness
had a kickass day full of seaworld retarded year old guys and xmen origins win day,anger
because my dad has the tv to loud then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush,sadness
just got home from the bea amp it was kinda boring me this year but hung out with some great authors amp coworkers,boredom
lol ik they are but i figure ive kept it for a year without needing virus software or to get it fixed sigh,surprise
nothing to do just sitting here i can see mrs p and her husband,boredom
omg goooood ass nappy nap jusss woke up bout clean up a lil then get ready,anger
phone disconnects my internet right in the middle of an uber also first tweet from inside of steam,hate
problem is flash isnt gpu accelerated the atom cant play youtube hd or hulu hd fullscreen big deal with plex,boredom
nice one hahaha thanks for last night lt,fun
feeling good about our win its nice being softball champs bring on the season,surprise
why does twitter hate me i cant put no photos on my page,hate
fans from outside the us wish they could vote for adam too,empty
almost got sharpied in the face while falling asleep being sick sucks,hate
lol i dont even know what intezonefootballcompetition means good luck,fun
well that propels people to change direction no point wasting your days on something you lost the passion for,relief
my new design portfolio is finally online still needs some tweaking on the details but its ok for now,relief
yeahi hope it turns out more minutes,boredom
doing my folio work but keep on getting distracted by deb pics,boredom
i have to poop is hogging the shitter,hate
you got her a watch thts sooooo sweet,love
has such a freakin migraine,sadness
its simple for those who know how to use it hahaa im glad youre okay x x x,happiness
happy mothers day to all of the mothers and motherstobe my mom is getting a special gift from me today,relief
oh yea mspacers my boy just hooked up my page it looks kewl at least i think so and it only took him minutes,surprise
word to yer mother m,enthusiasm
holy cow archie andrews finally marries veronica lodgethis is not what i thought will eventually happen in my th grade a bad,surprise
finally got home and get to sleep had a great time with and friends,relief
downloading the rightreal speedracher now,surprise
headed to parking facilities to turn in permit renewal not being across from the breakroom means i check snailmail once a month,hate
what a day dayofservice completed and now aching all over clearing trees around a beautiful lake splitting headache now tho,surprise
bhaha its a teenage nightclub and i am at home when im supposed to be there they had no fucking license no more touch,hate
all moved in to our new apartment so exciting,happiness
bgt piers shouldnt have buzzed when the little girls were singing,hate
i just got smashed in the face by a th grader thowing a football twice now i bleed,sadness
today im lonley girl with a guitar,sadness
is now at school about to take the ecas quotlamequot steal from brennan good job lc and you too brennan,relief
i think ff should be feline friday anyways i want cat pictures maybe those are only for caturday though,neutral
touchin the starss,surprise
ugh damn my usual babysitters graduation is on wednesday and i just got a meeting request from my boss during her graduation,hate
omgggg hawaii thats amazing i wanna live there,fun
fuck slept in,anger
just made diy acid wash shorts cant wait to see what they look like,enthusiasm
just got the dreaded call from babysitter little h has bumped her head sitter says shes fine and goose egg is going down fast,enthusiasm
omg apparantley green day are touring here in decemberwe are so going,surprise
im only failing class algebra damn it that shit is hard,worry
i hope you feel better way soon,enthusiasm
its because i put radio on by mistakeill have a cup of tea and a shower then im sure all will fine and dandy thanks,relief
and the grease drip pan doubles as a butter dish in a pinch,neutral
cleaning and packing moving house is shit its going to be a long weekend,hate
ha did she find out the only thing google came up with was some database acronym and quotdibbsquot on the front seat aka shotgun,surprise
oi phi ru cho b ng trc khi b thy ci rng tri cy ny i mua mi th kg n th cht,empty
aubrey i know i speek for a lot of fans when i say we miss seing you on tv i hope we will be seeing you again,sadness
why are you surprised,surprise
more demon sam i need it to numb the pain xxx,anger
ive come to the conclusion that lemongrass chicken tastes like lysol so much for lunch,hate
i never knew a dentention was so hard get,anger
britt had to do it she came all the way down to say may the fourth be with you our work is done,happiness
the kids were awesome today they loved the face painting,love
tgif is righti think i broke my toe last night on my bad foot,worry
this is how we do itttt,sadness
tgif hubby dragged me out to buy car parts i am tired n cranky,boredom
i no i no bt i had only been a gamer for like years when i made that attempt lol yea i luvd f to an extent,love
waiting in line tryst,boredom
cant wait to see it tonite should be hilarious,happiness
is wondering what i did to get on the quotdo not respondquot list,surprise
thanks,neutral
a for effort though,empty
sitting outside with my laptop its kinda nice,happiness
ohh i didnt double tweet a while ago did i now i did,relief
i love them,love
does not feel like babysitting i want to go to the gym weird i know i miss zack,worry
eating nesquick cereal st time since i was like good times,fun
chilling at home,relief
working on short storytotally loving one of my secondary characters,love
kbal i am sorry that you are feeling that way,worry
hopefully it dont go that far sometimes i feel like renouncing my roots,anger
last day in maui,sadness
oh no dreadful thought wont you get to spend any time blipping at all next week then,worry
good morning twitters i am soooo tiredi really need stay off of twitterlol this shit is taking over my lifelol,boredom
some great stuff on website today,love
wishing all the moms in the world a very happy and relaxing mothers day may you get to spend the day with your feet up being pampered,love
goodnight and good bye to all of you hope you have the best of dreams,relief
lthas no internet for the weekend,sadness
took a short nap now im ready for work my sun burn hurts,empty
hope your son is okay,worry
a that sucks maybe its on youtube somewhere,empty
this weather is awful i just want to curl up and read a book all day,sadness
i believe the address is ottawa ave nw grand rapids mi calder plaza wish i couldve seen you guys last night or today,worry
had a kickass day full of seaworld retarded year old guys and xmen origins win day,anger
hey i didnt get the email yet,surprise
haha yeahh im still following u tho,fun
hey sherri thanx da messages wondering if u could follow me plzzzz,happiness
in a bad mood now annoying when its sunny,hate
rise and shine time to get prettifide,surprise
today i plan on taking my music history final then catching up on some movies at my movie theatre,fun
a mocha at am my youre brave,surprise
god assignments are stressful but its finished now lol and im off to bedd,surprise
so whats so great bout your so called wonderful love life for god sake wateva,anger
oh the mint lounge awesome night,happiness
shrugs so do i but it was too funny plus you know you enjoyed it tweet whore love you,love
finals week dont bother me im studying,empty
rt ughhhh got fuckin pulled over for talkin on my cell in a school zone fuck highland park police rude mofo,hate
i hate when that happens i hope you figure it out soon,sadness
all the best for art attack thanks d follow,neutral
damn fallout is a hard game,sadness
oh let me clarifyknow lots of nice people who live there but thought it always was a breeding ground bnp,anger
hawks lost but it was a good time,relief
finished the book vat a good book lt,enthusiasm
today in the friendly game one asshole hit me in the knee now im lying in bed with a heating cream stinks and ice bore very much,hate
just got home from work ready for chill time shoot me a pm aim pillowtalk,fun
i dnt think i can ever get tired ofquotthe climbquotits just of those sngs ull always remember,enthusiasm
nice mothersday gives you a viritual chocolate,love
im up wit cha just got home from da reggae club wishin i was sexin somebody,happiness
haha abbreviate it so its not so bulky,sadness
finally feel back into swing of things here at work after getting married last week sigh of relief for no more wedding planning,relief
i no i no bt i had only been a gamer for like years when i made that attempt lol yea i luvd f to an extent,love
by the way one of my goals this year was to forgive people you have no idea how much has been lifted off my shoulders i feel better,relief
uuuuugh i hate i missed interview i wasnt at home darn,anger
aww bless her shes one of my faves,worry
quotyou can ride one you can catch one but its not summer til you pop open onequot,enthusiasm
download iemoticons from the appstore but cool,happiness
i think im broke again,worry
yeah i got ur text well ive only been on summer break for a week and so far its been boring all i do is watch tennis matches,relief
sooooo glad stone creek coffee is following me i love their atmosphere,love
surfing twitter,neutral
hey is mainly depressing its all these people who are cheating or dont love each other anymore,hate
darn i thought you meant white sox,surprise
steve aoki sorry may b nxt time,boredom
lets go,fun
after hearing susan boyle sing she came off as the most beautiful person id ever seen i feel bad for my first impression though,love
a well before we know it youll be back visiting xd we will hang out constantly and have another heartbreaking goodbye,happiness
thank you i hope the same for you,happiness
you really have to come to ireland some time we love you over here lt,love
that party was a great time just got paranoid by as a ringtone yay,fun
kh is the only thing ill be a weeaboo about i still prefer it in english but im impatient haha,enthusiasm
just had a falling out with nick,empty
im thinking that im going to have fun tonightand maybe some changes are coming,fun
what a dreary rainy crappy day,worry
ready and waiting donnie we love you too,love
gahhhh homework masterchef in half an hour hahah and the recruits,fun
link to ff quothow it worksquot is broke,anger
lol y does ur tweet sound like ur voice yelling at me lol,anger
just like to clarify that i am a unable to acc review vibrators as have not testrun any not an invitaiton for freebies,worry
roxy was right this palmade stuffs pretty cool,happiness
i used to be but that was a while ago now your argument is pretty sound for a trolley pusher,anger
its the little things that ill always cherish about you,sadness
enjoying a fresh mango bubbletea slush but still at work,hate
got insurance forms for polo feel a bit has to be done though,worry
ok i feel like i need to cry now i cant believe that in less than years ill be walking across the stage to get a high school diploma,sadness
daniel has won dsds his voice is great,love
had a shower its pm triple s crap it just turned,anger
no more pizza for jamie wtg britains got talent sure has,neutral
longest flight ever not particularly unpleasant or uncomfortable just really really long,boredom
cars been dropped off for service and mot getting the train home hate public transport,hate
whew finally home after putting in some hours in the lab watching catch me if you can and eating cheese and grapes good night,relief
a wat i was gonna buy myself something pretty nvm,neutral
morning done my school work doing nothing all day now what about u twitters,empty
its good to be home,relief
macs ftw btw just because and if youre still using the grandaddy pcs you lost at life jp not really,hate
whove u noticed now kate,neutral
internet is painfully slow today,anger
why telstra why do you are biggest teleco have to be so greedy we need fast internet and no download caps,sadness
went to mikeys cousins wedding his mom caught the bouquet,happiness
come an add new twitter only for fans,fun
just set up a new computer again min i love norton ghost,love
so much for running outside like i thought i was going to looks like the treadmill will have to do for todaythanks a lot rain,hate
finishing the video fuck me its so long,boredom
like drew said quotgive tc a chancequot we will miss thomas but have to move on so watch this,love
i had my hair in a messy ponytail all day amp i took it out just now and it looks really nice but still messy,relief
should probably do some house work for my mummy think id better would cook dinner but im a shit cook lol xx,boredom
musicmonday nicest thing from kate nash,relief
the toaster oven was my fault now im going to look like an idiot in front of my father,anger
miles from you im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,sadness
what does it matter we all love you take your pick ha,enthusiasm
it would be great if those vips were for some acts id enjoy seeing but noooo,happiness
trying to save money for an ipod touch,surprise
how i met your mother and scrubs in role yeah quotcause im fly,happiness
types too fast for her own good and has been craving pizza for wks gah i hate not having a job i want pizza lmaoz why me,hate
back from lunch ready to go homeeeeeeeeeeeeeee,happiness
studying for this bullshit econ test,anger
i am sooooooo bored in textiles,boredom
what a wonderful dayi am going to sleep so well tonight,love
j ross you cant leave the killers still singing and run the titles you should have been edited out for more music happy not,boredom
cool you and your mother have awesome hair styles wish her a happy mothers day,happiness
is boiling in the office air con any,boredom
i apparently have crappy typing skillslol sorry,worry
say a hi to me tom please please,worry
so sad john cryers exwife sarah trigger charged with abusing their son he had rope marks around his neck,worry
dsi is the latest nintendo ds with cameras stuff built in we are a gadget house luckily i get my blackberrys free from work,relief
that just gave me that sicktomystomach feeling ppl like that dont belong in regular society ever,sadness
